Product Description,Category 1,Category 2,Category 3,Category 4,Category 5,Confidence Score
"ANTISPATTER SPRAY AFRA-999,550ML CAN",Mro Supplies,Chemicals & Lubes,Industrial Use Chemicals,Industrial Use Chemicals,Antiscalant,0.5686397906230853
ADBLUE LEQUID UREA FOR BS IV MACHINE IN,Mro Supplies,Oem Equipment,Oem Equipment / Machine,Oem Equipment / Machine,Oem Equipment / Machine,0.5231516969260028
"Backuppad 5 "" Non vaccum: Mirka",Mro Supplies,"Office Equipment, Furniture, & Supplies",Office Supplies,Printing & Writing Paper,Paper Pads Or Notebooks,0.5780411353102127
Copper Hammer with Handle Local 2Kg,Mro Supplies,Tools & General Machinery,H& Tools,Hammer,Hammer,0.7385372057118219
"Ply Sheet ( 20""x17"" ) for packing Box",Mro Supplies,"Office Equipment, Furniture, & Supplies",Office Supplies,Office Supplies,Packing Tape,0.648180050255126
KEM ECORITE PB 6022(FLOCCULANT),Mro Supplies,Furniture & Furnishings,Faucet,Faucet,Faucet,0.588059753789072
"WELDING CABLE CU 600A ,70SQ.MM-ESAB",Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Welding & Soldering & Brazing Machinery & Accessories & Supplies,Welding Wire,Welding Wire,0.7401921642422395
8 Way Pendant 22032108  -TNK069,Mro Supplies,"Material H&ling, Storage & Packaging",Material H&ling Machinery & Equipment,Conveyors & Accessories,Chains,0.5447121641156996
"INSERT 396.19-40003.ON3.0ISO,F30M",Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Metal Cutting Machinery & Accessories,Metal Cutting Machine Attachments,Inserts,0.6609057639540317
Demag Wheel block DRS-250-NA-A-75-B-X-X,Mro Supplies,Manufacturing Components & Supplies,Bearings & Bushings & Wheels & Gears,Bearings,Bearing Blocks Or Housings,0.6205651866544867
 Focal Probe SC5Z15N (14-28mm),Mro Supplies,Printing & Photographic & Audio & Visual Equipment & Supplies,Photographic Or Filming Or Video Equipment,Camera Accessories,Camera Lens,0.6058190797311409
HOB FOR GE25A 5M 27PA 25 TEETH ROUGHER,Mro Supplies,Manufacturing Components & Supplies,Hardware & Fasteners,Hardware,Brackets & Braces,0.5228213222612803
GR.WHEEL 400X30X127(CUMI)3MSB601 G13 V,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Lapidary Machinery & Equipment,Grinding & S&ing & Polishing Equipment & Supplies,Grinding Wheels,0.5993099624775567
CONVEYOR BELT WITH NYLON BINDING,Mro Supplies,"Material H&ling, Storage & Packaging",Material H&ling Machinery & Equipment,Conveyors & Accessories,Belt Conveyors,0.7684727784297184
"""""""""""""""STEEL STRAP3/4X28G,MAKE:ITWSIGNOE",Mro Supplies,Manufacturing Components & Supplies,Rope & Chain & Cable & Wire & Strap,Chains,Strap,0.6392326403177063
FULL SLEEVE NAVY BLUE APRON WITH LOGO,Mro Supplies,Safety Supplies,Safety Clothes,Safety Clothes,Apron,0.7923617747868403
Filter Element 5 MIC,Mro Supplies,Electronics & Instrumentation,Domestic Appliances & Supplies & Consumer Electronic Products,Consumer Electronics,Microphone,0.661436321262054
FINISH BORING HEAD A78070 (RANG-114-205D,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Structural Components & Basic Shapes,Pickup Head,0.5548806560416158
Lifting magnet- 600 Kg. SHARDA make,Mro Supplies,Power Generation & Distribution Machinery & Accessories,Motors & Components,Motors & Components,Sleeve Magnet,0.6172701890412118
WATER PROOF LITERATURE BAG,Mro Supplies,Food & Restaurant Supplies & Equipment,Beverage,Beverage,Tea Bag,0.622360792459181
FB9 HEATING INSERT/NOZZLE,Mro Supplies,Distribution & Conditioning Systems & Equipment & Components,Fluid & Gas Distribution,Hardware & Fittings,Nozzle,0.6892047207639064
Drilling insert Dia 24 (870-2400-24-PM42,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Metal Cutting Machinery & Accessories,Metal Cutting Machine Attachments,Inserts,0.6549872427190775
COOLANT 205 LTS PACK,Mro Supplies,Chemicals & Lubes,Coolants,Coolants,Coolants,0.698909582356235
T SHIRT WITH THCM LOGO,Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Topwear,Shirts,0.6289439290656494
HOB FOR GE25A 5M 27PA 25 TEETH FINISHER,Mro Supplies,Manufacturing Components & Supplies,Hardware & Fasteners,Hardware,Brackets & Braces,0.5468494134650387
Filter Press Plates with Clothes 635x635,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Structural Components & Basic Shapes,Pressure Plate,0.6564929280657259
LIQUID CLEANING CHEMICAL ORION 355,Mro Services,Maintenance Services,Industrial Cleaning Services,Industrial Cleaning Services,Industrial Cleaning Services,0.6025010621465591
1PLASTIC COVER WITH FLAP 76 X 55 X 46cmm,Mro Supplies,Manufacturing Components & Supplies,Seals,Mechanical Seals,Seal Cover,0.6447671118824027
LED Tube Light T8 Photon Ultra 2.0  20 W,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,"Lighting Fixtures, Accessories & Lamp Components",Lamp,0.6131842367590487
GLUCON – D / GLUCOSE – ORANGE FLAVOR / 0,Mro Supplies,Food & Restaurant Supplies & Equipment,Pantry Supplies,Pantry Supplies,Sugar,0.5815278794716114
SUCTION STRAINER (BIG) 250 MICRON,Mro Supplies,Electrical,Distribution & Conditioning Systems & Equipment & Components,Fluid & Gas Distribution,Basket Strainer,0.6101003454645293
DT3000angle probe2.25z10x18a70   4171997,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Sensors,0.5871206996312557
COMPRESSION FITTING PT 1/8,Mro Supplies,Manufacturing Components & Supplies,Hardware & Fasteners,Fastener,Compression Nuts,0.6172565427036151
4 EDGE CBN INSERT CNGA 120408 GA4,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Metal Cutting Machinery & Accessories,Metal Cutting Machine Attachments,Inserts,0.5726117699201334
Fiber Glass Cloth Ins. tape W-100mmT-3mm,Mro Supplies,Manufacturing Components & Supplies,Adhesives & Sealants,Adhesives & Sealants,Tape,0.7343036862946872
Sodium Hypochlorite (national chemicals),Mro Supplies,Chemicals & Lubes,Industrial Use Chemicals,Industrial Use Chemicals,Industrial Use Chemicals,0.662743207972718
HOB CUTTER DRY CUT M 5 A 27D COMP:- ZC00,Mro Supplies,Tools & General Machinery,H& Tools,Cutting & Crimping & Punching Tools,Cutters,0.6375098871922108
Servo-Cut 945 cutting oil,Mro Supplies,Chemicals & Lubes,Chemicals & Lubes,Chemicals & Lubes,Oil,0.7026804210640181
CORDLESS DIE GRINDER,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Industrial Machine Tools,Cordless Tools,Cordless Tools,0.664325159151021
VFD 90/110KW-170A-CIMR-AD4A0208AMA-YASKA,Mro Supplies,Electrical,Power Supply,Regulators/ Converters/ Inverters,Regulators/ Converters/ Inverters,0.5611326234629025
Outer radiant tube for SQF 650kg,Mro Supplies,Electrical,Distribution & Conditioning Systems & Equipment & Components,Tubes Tubing & Tube Fittings,Tubes,0.5596069940611724
LEATHER GLOVE 300MM-TS25914,Mro Supplies,Safety Supplies,H& Protection,Gloves,Gloves,0.6879908391649482
PAINT SYEN BLACK SEMI MATT QD (berger),Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Painting,Painting,0.6651569250918683
Yoke XTB-06 with X-026 Self Locking Hook,Mro Supplies,Manufacturing Components & Supplies,Hardware & Fasteners,Fastener,Hook & Loop Fastener,0.5933163162198317
"REGULATING WHEEL  A150T3R30196,000 ¥196,",Mro Supplies,Commercial & Military & Private Vehicles & Their Accessories & Components,Wheel Accessories,Wheel Accessories,Wheel Accessories,0.6411639830969184
"Top coat & primar coat pocket filter,592",Mro Supplies,Hvac,Refrigeration,Refrigeration,Filter,0.6197000154819975
"Gas nozzle 18/31x82,5 Twin 900.Fabricati",Mro Supplies,Distribution & Conditioning Systems & Equipment & Components,Fluid & Gas Distribution,Hardware & Fittings,Nozzle,0.7176976321757405
Heater Assy erected in refractory -650kg,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Film Heater,0.6435661074564983
CONTN.COMPUTER STY.10X12X3 (WITH CARBON),Mro Supplies,Information Technology Broadcasting & Telecommunications,Computer Equipment & Accessories,Computers,Computers/Laptop,0.6498912727704195
LIQUID CLEANING CHEMICAL ORION 514 Non F,Mro Services,Maintenance Services,Industrial Cleaning Services,Industrial Cleaning Services,Industrial Cleaning Services,0.5940590534806924
COOLANT;LONG LIFE (SUPER COOL),Mro Supplies,Chemicals & Lubes,Coolants,Coolants,Coolants,0.7936741221511067
SUCTION STRAINER (SMALL) 250 MICRON,Mro Supplies,Electrical,Distribution & Conditioning Systems & Equipment & Components,Fluid & Gas Distribution,Basket Strainer,0.6211958181819327
Goose neck- 505-45. Bernard,Mro Supplies,"Material H&ling, Storage & Packaging",Material H&ling Machinery & Equipment,Conveyors & Accessories,Neck Guide,0.5965021188602629
AIR FILTER P191920 DONALDSON,Mro Supplies,Filtration,Industrial Filtering & Purification,Filters,Air Filters,0.7123360523390271
TRANS. C4 SAE 30,Mro Supplies,Laboratory & Measuring & Observing & Testing Equipment,Measuring & Observing & Testing Instruments,Transducers,Transducers,0.49506391853948484
Cotton knitted shim less gloves(80gm),Mro Supplies,Safety Supplies,H& Protection,Gloves,Gloves,0.7236283558636601
OIL DISPENSING GUN [PRESET TYPE] SAMOA M,Mro Supplies,Laboratory & Measuring & Observing & Testing Equipment,Measuring & Observing & Testing Instruments,Liquid & Solid & Elemental Analyzers,Petroleum Testing Equipment,0.6178594793157317
TAP   M12 X 1.75 DIN 376 A-SFT 6HX WITHO,Mro Supplies,Tools & General Machinery,H& Tools,Tool Attachments & Accessories,Threading Taps,0.5783119792607546
HYDAC SENSOR (40 BAR) MAKE HYDAC,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Sensors,0.6036687081728289
HYDAC SENSOR (100 BAR) MAKE HYDAC,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Sensors,0.6019041665025416
HYDAC SENSOR (600 BAR) MAKE HYDAC,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Sensors,0.597210145381308
"Lightning Arrester  36 kV, 50Hz 20KA",Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Arrester,0.6678569442164953
INSERT SEMX 1204A FTN Grade : F40 M,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Metal Cutting Machinery & Accessories,Metal Cutting Machine Attachments,Inserts,0.5700294518119308
UNIVER TRAVEL WHEEL 125 1SPK MZ-83055344,Mro Supplies,Commercial & Military & Private Vehicles & Their Accessories & Components,Wheel Accessories,Wheel Accessories,Guide Wheel,0.610540553006118
RICE BOILER (227 ltr),Mro Supplies,Hvac,Boilers,Boilers,Boilers,0.7070461199787637
BASE TRAY FOR 1000KG FURNACE GRADE HU,Mro Supplies,"Material H&ling, Storage & Packaging",Containers & Storage,Plate/Tray,Plate/Tray,0.6008610671039242
Phosph.strainer 1500 micron.od-200.L-500,Mro Supplies,"Pipes, Valves & Fittings",Strainers & Traps,Strainers & Traps,Strainers & Traps,0.6088850480298041
Sodium Hydroxide (NAOH) Caustic Soda,Mro Supplies,Food & Restaurant Supplies & Equipment,Drink,Drink,Drink,0.5733602631240722
Machine History File EX--- (38 page/try,Mro Supplies,Information Technology Broadcasting & Telecommunications,Computer Equipment & Accessories,Computers,Computers/Laptop,0.49378070653752015
M TP-M20X2.50 ISO6H-TB-V008,Mro Supplies,Laboratory & Measuring & Observing & Testing Equipment,Measuring & Observing & Testing Instruments,Transducers,Transducers,0.5053063969795036
"Dry cell battery, 12V,7 Ah- CFT-12",Mro Supplies,Electrical,Batteries & Battery Accessories,Batteries,Batteries,0.6438946861740231
"PVC Welding curtain 70""x 80"" with eyelet",Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Welding & Soldering & Brazing Machinery & Accessories & Supplies,Welding Wire,Welding Wire,0.6268908307604256
1PLASTIC COVER WITH FLAP 22” x 19” x 36”,Mro Supplies,Manufacturing Components & Supplies,Seals,Mechanical Seals,Seal Cover,0.650526522579998
